Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0
209.99017880034395	189.6043018047522	206.53541881546	190.2576436057409	120.0343878223683	121.0828940140989	106.36066784060495	124.68378274850194
218.1714715868344	191.10072450853045	211.9956696177453	190.78333817785693	122.12979826781955	121.97208569088106	106.76119151753178	125.17444808348452
226.1733511458071	193.73110700389628	218.3671190212772	190.66006869581472	123.43559975035545	122.35919829436021	107.08162882839244	126.55023054570111
232.4546772390574	196.94953838623664	225.5310540628436	190.6077367912475	124.57776033020224	124.05751661197542	108.02620683390005	128.00307183051532
237.5759766059452	197.86149966359835	234.9390801267212	193.2156689706065	125.42947602546424	125.52366479550493	109.96194695581235	129.46937712612515
242.191164289712	197.6847001865717	246.12148136171857	197.02793804501505	126.89687091212677	126.55454062755953	112.16090870115048	131.1207173727586
245.72922934935497	198.3432427169008	254.04345584704183	201.9652324861273	128.7910352331513	127.52474324719239	113.45587062675153	132.05952426378857
248.76504525668025	200.3247024913174	262.6466440986322	208.11147408210687	129.75175559621613	128.54219802006574	114.27464870896839	133.65620625605445
250.2610590121994	203.01674269032284	269.5158040884429	219.4225707145219	132.12514881417502	129.57769448681182	114.23133500031628	135.18790666772796
255.0777124839419	206.22477268896893	271.87894067433035	233.48429352382217	133.8487330390343	130.54584338638682	113.93353487407664	135.8926379014676
257.49279406055666	207.09253141972607	274.341195017561	248.38442304976635	134.68585233586592	132.03380806337427	114.42976513840398	137.76482256129427
258.0435066039963	208.59692877608217	275.365152278087	257.7695522916402	134.57852333503865	133.34432989837373	114.81880586007081	139.10567309622405
256.9787688380638	212.9893133271172	278.31853567103826	263.93748011211505	135.13798834392315	134.6187918267087	115.30877416804779	141.0357213222773
256.01460302736785	216.6948409192029	280.23772955564	267.10090562983106	134.64354276918013	134.90824562135734	116.13558951614202	140.44617777168523
254.91337402568604	217.7921380666698	281.3252998211001	269.5657931722932	133.0485371513242	135.075012820094	116.82427503867802	139.12003960840295
255.01653382130183	222.43162449422584	282.3383739851173	271.8669495131017	129.4192250092866	135.7749100915946	116.9244295786598	138.17843677539054
257.1213406127247	230.9295567707001	281.4749423221629	271.78426989009284	127.41395931529871	135.55805038878927	116.48041953081082	136.88734773244218
258.5682372365737	238.00063907047627	280.0106286301549	273.09243720542	125.9886352259488	133.692375622544	116.22461714448478	135.3211553819812
260.6499437568045	247.9830407827244	277.8853428225804	273.7707796192352	124.24072806963223	131.04294675610154	115.99837238012364	133.40006857189204
264.8717306263218	256.79667797578213	275.9218956681838	272.2552250097247	121.3809048962627	128.05540111369407	113.86827743607215	130.90393562772368
263.8854271879202	263.9699684188095	277.20186108769946	268.9046970710136	119.34079142686758	126.53902252441902	111.34787914927394	129.39743058293402
263.79901500275656	268.2294566644329	276.3265468621028	262.79792218180114	117.00164941879089	125.24338349162272	109.44294668355045	128.05889118241515
261.14507996314546	271.40452958187785	272.93520760864175	263.08744130165763	114.71835986199673	123.36930288308753	107.30333742062545	127.79300143480525
258.96651045505183	273.3987006062969	269.1164688702289	264.98582002896313	112.71980218739093	120.94655266128582	104.59053867692508	127.08264233182754
255.77976995239948	275.7147896575173	264.8111257663962	266.6030211305523	110.32679850365771	118.28278837165502	101.98471477886838	125.29429693807833
252.68331416558104	276.39469963831897	263.2046047603621	267.27941374561976	106.40400969279938	114.90015387326109	98.78139595378676	123.15084147528343
251.8252065880668	276.6772742668775	260.8283479625732	263.2288112958126	100.71570527748278	111.36756089656991	95.59663069831001	122.77913155934132
249.6457509304005	273.9119481624928	255.9404417472208	257.136148118002	96.88581009983359	106.95230412246673	93.67699945608864	121.94999461960333
246.24620336115345	270.9982064827703	249.6000141114209	254.8953280115322	96.22339552343388	102.44574799955382	91.63645324123927	121.28248534076776
242.4170245525844	270.2471003729003	242.16281708715587	250.5389993323686	96.51911273249917	99.7801000188871	89.45966716374873	118.66776347263044
236.4936425417729	269.9571749614475	235.72541132283777	246.1627400783256	94.74064030369618	98.10623606715671	86.86013408249408	115.54309922910645
230.06322205229029	266.2849538174318	227.394784316523	242.04309677667737	92.49782458595436	97.38462145669294	84.27708250451008	112.77601992333665
222.6356787987524	260.71058092070655	222.09700643875632	239.5149088570816	91.09045582960445	95.91194427704191	81.44568324183673	111.42295617705615
218.56820029456767	257.1636251066298	215.5078965143419	235.79141252880808	89.4696817913428	94.17744361430098	79.2631150185098	109.67632373941582
212.5900814143449	252.9349056501973	209.3190125902968	231.71563385744432	87.3173818177014	91.92689884602954	76.92185349225146	107.59835901896562
206.3897563260261	248.8402964616841	202.12487102320145	226.71034655415767	83.724416399762	88.80875011799944	75.4360518830417	104.58518943624766
199.5374001878729	240.4728621606316	195.0239268152021	220.0850702149426	80.52296770474445	85.78992455327977	74.06079126247909	100.70083994437654
192.1713099802702	234.8588671016111	186.3446130786585	209.88517957779743	79.75924140545602	83.07887391535046	72.63187722086661	97.08482499002046
185.1376987966436	229.2414527197145	175.7958406233799	201.7853021804599	78.75082299445435	81.55836991034474	70.61032781837471	93.27607687729216
177.9162554398469	222.3485919732285	165.3698393223127	194.40454336154795	77.64671155570909	78.97250977170293	69.50521955988633	89.65079904223958
168.5456663517711	216.06898178375448	154.85898561108465	185.9532026102209	74.2843811019708	74.53246174520312	70.04749111692792	86.4653823165966
160.0445391507777	207.3444534615637	146.08930969666446	178.58516559166014	68.980794008039	70.20579861723017	70.2463009480988	83.49459778012604
153.3231971188775	196.56671323342488	138.28367302158134	171.62976297910413	63.48621266376685	68.16096417430732	69.1056470786597	79.93083358217028
146.55159213788235	184.4720916006016	130.35545279369117	163.8230473083348	58.220356227150624	67.06451345208878	67.62503949555357	75.51609225517407
139.64029724996675	172.3448920360591	121.46184798087972	156.13132664012468	53.72011044306176	66.26626870177637	64.91129716827525	70.03568575400746
132.56746293578067	162.35822934798566	112.92295923800206	146.35497483575125	48.08836188535406	64.30419164662511	62.82250393784218	65.67484996529238
126.06196008718196	152.54908835729333	105.5333784233427	137.68924840780065	42.59130827091423	61.56705853310772	60.616362215541606	62.16224002418239
120.32332919895472	143.67619825596597	101.17390470948273	130.61505165264475	37.77008403850209	58.20029753275208	57.59701453292152	59.33190676950617
114.38070416165458	137.36225647218825	96.44317357524352	123.31861321669174	33.52800442442572	55.04524291377946	54.40499113185524	54.69516404510102
108.69278371055668	129.6699145514693	93.94492486665015	116.06515006961791	30.104355474026065	52.45758982870327	51.279257149928	49.044513764317365
100.85908223491134	121.49701380513082	90.70955934037798	109.13935852360996	27.077949071760212	49.96699500181801	47.71478477099655	44.359140171292445
93.23879173441978	111.85783263078592	83.37275485799361	101.51632841110234	24.799663904408874	47.46494094678051	44.77650017196995	40.61415144403328
87.37805767794305	103.70332090956252	76.05998998844024	94.88072631035386	23.161236403848253	44.368566341522076	42.5859419292135	36.80108714499337
84.19761610023177	101.30063721830528	66.85579875897642	88.1083668897122	22.581186557648135	40.864199282891946	41.09408413675764	32.75845231763149
81.39923411904468	100.48481213428148	60.31968100178787	81.40872522499238	20.010795797165887	38.246553316634206	38.324094006570846	29.262025544833218
77.33548138572104	96.65774083581708	54.89091860157948	76.9575913372852	18.273659198425303	36.35688092053917	35.119608721747774	26.48154909033962
70.6189490693733	89.19884582976285	47.55935845996864	72.40454318282367	17.063647949973298	34.086030837099514	32.12557715294973	24.11787462236163
62.37383859989091	80.09547338672144	39.25388310077229	68.4498181905211	15.872481429769339	31.748389756522542	30.07709932607845	23.760514858121613
53.21638653470299	72.97571497944102	30.3896194821753	61.57192061198224	14.57771403748149	29.1069934307923	28.539248278063827	22.670537293786627
42.92841350357328	70.29384800221037	23.3613816009638	53.68261185227681	13.143554609601843	26.620273228863816	26.356291980013356	21.10209436544532
32.41676737665396	63.9866557290364	19.2311279860127	42.74401557018821	11.418952700786205	25.447577224901508	23.860881262523552	19.203885283125796
24.98380651431218	55.50512704227988	21.60961559631279	32.94033079222288	9.695401207733992	25.201102078226974	22.23681072664241	18.313450920158438
22.226620063209488	45.57252811749616	27.45195806864468	24.11718987045452	7.845865337376855	24.92615920640246	20.60750409662242	17.704625335254345
22.006052984632035	35.50115696679458	31.886282319917942	20.071540668167795	6.844552355862011	23.450677447201556	18.968028268650407	17.541061775303685
22.236808188802616	29.94137489212404	36.19514414624233	21.664269941882893	4.946680239330323	21.681858153512426	17.980114871559536	17.20002631468939
22.83842874114921	32.114240753599184	38.49868644360095	24.659056031145987	4.031517094052812	20.585771203025747	17.004320366959956	16.541499155941874
23.204439490151174	35.42041031870283	37.198428885825855	27.77465052020581	3.94046255894564	19.156903387894758	16.584029672607333	15.788279755973369
24.84303046098994	37.24359720106849	34.10723479235687	31.90550347014362	3.9373047028698056	18.441556648606696	16.236829750426278	15.382155825443188
25.41976637599778	38.02775507937085	30.35269631052726	35.135840267282845	4.04291885464856	17.936061359761794	15.295346026263395	14.760901264466517
25.62052211741448	38.03617352596096	27.203285024799847	34.97048082765495	4.264718302873194	17.258954377283267	14.130912166335875	13.613613493324914
25.89947734804854	37.21308534640645	24.83949091302643	32.73484957835416	4.552570542125669	16.656929771222906	13.020885376635626	12.676276440437222
