Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0	Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	T1_A0	T2_A0	T3_A0	T4_A0	T1_A2	T2_A2	T3_A2	T4_A2	T1_A1	T2_A1	T3_A1	T4_A1
118.32534388833255	123.85199616787447	115.3715528089768	93.95188973936727	77.18743194434194	79.93101796585356	87.28764140896178	83.1678900164111	96.5317227697295	123.8524479650634	115.37146100422346	93.951992520753	77.18743194434194	79.93101796585356	87.28764140896178	83.1678900164111	74.7256084265065	60.925081213281196	63.62193137952366	63.62193137952366
117.88673627747316	123.29717145247696	114.27987109852128	93.5325540083514	81.02813962022796	80.40534458361158	90.39721892384466	83.30515395737754	99.60058073928673	123.297558573065	114.27990572876608	93.53266001403392	81.02813962022796	80.40534458361158	90.39721892384466	83.30515395737754	74.72808478647724	62.195469466797384	64.38015695791292	64.38015695791292
118.28893450335276	122.64653314656432	112.4984429866156	93.05148818285394	85.36754871172829	81.78810294952495	92.97618321029998	82.75950637680793	101.80213922259308	122.64685344861176	112.49846931559014	93.0517932459158	85.36754871172829	81.78810294952495	92.97618321029998	82.75950637680793	74.51957009718312	63.05858102776825	64.73508254175518	64.73508254175518
118.05613931700212	121.93043115016629	111.15925956031538	92.31497873849491	88.70313281679103	82.8637122461977	96.03951714550044	82.9143557319465	103.67010996476012	121.93068849976076	111.15907409851444	92.31301707017654	88.70313281679103	82.8637122461977	96.03951714550044	82.9143557319465	75.17085142820247	63.5610021521467	64.82543908881928	64.82543908881928
118.70325553100024	121.71442004474764	109.5012050287358	91.6474629189959	92.2108108683284	82.34827870845919	101.64928475696011	84.69175384871676	105.66874814372636	121.7146019594032	109.50105255630376	91.6473239720721	92.2108108683284	82.34827870845919	101.64928475696011	84.69175384871676	75.64856905684444	63.526909034464595	64.76186948987579	64.76186948987579
117.73737831207228	121.22282723907304	107.46050641801764	90.42415656615532	96.42431612659595	81.71013202282433	108.96130981114057	86.4636833948385	107.75400945060818	121.2228860472387	107.46051563695303	90.43400652368636	96.42431612659595	81.71013202282433	108.96130981114057	86.4636833948385	75.24375038926703	63.07984643941963	64.67392334361001	64.67392334361001
117.36308959610228	120.63153845265894	106.56868728927998	89.12343110280285	100.15498660959403	81.5867897943596	113.63668487790342	88.20444078160531	109.33022029395984	120.63154709682628	106.56873736506104	89.13298019395982	100.15498660959403	81.5867897943596	113.63668487790342	88.20444078160531	75.23619549421326	63.37941754303664	64.29772585481543	64.29772585481543
115.9857389988214	119.65214951362128	104.75207883523784	87.72419736090662	103.25414395573756	81.75896358253728	119.98750568633484	91.50994942821744	111.08873716998244	119.65219394617353	104.75206340949096	87.73579192121024	103.25414395573756	81.75896358253728	119.98750568633484	91.50994942821744	74.97281376822284	63.52870382257726	63.57748406202686	63.57748406202686
116.05497437645568	118.53387691494235	102.847177849076	86.27394875221623	106.374144414122	83.70832249583691	126.08210032415514	96.93774907150151	113.17983151619018	118.53343535151996	102.84929436612023	86.27637084550999	106.374144414122	83.70832249583691	126.08210032415514	96.93774907150151	75.17420686244665	64.26437434987922	63.47994440540894	63.47994440540894
115.51929924951202	117.61043381970694	101.4040250956098	84.18791920786646	111.512815235774	86.08632390028585	128.5825025445128	103.2003190765183	114.89689865220686	117.61046191357612	101.40405052274878	84.18411799347685	111.512815235774	86.08632390028585	128.5825025445128	103.2003190765183	75.50999064095598	64.09304738968699	64.08643300067342	64.08643300067342
115.26667266095508	116.84496264154949	98.5155997187836	82.16575911721424	114.88318521594726	86.50967178604145	132.74217025947655	110.24201310462146	116.18229604698506	116.84496298576822	98.51522668638908	82.17141301394706	114.88318521594726	86.50967178604145	132.74217025947655	110.24201310462146	76.24561185039659	64.6794519922941	64.13421758932495	64.13421758932495
113.66381430221864	115.4277713311594	96.29784070671568	80.97693950233804	117.50278119198232	87.97403484184208	135.73828758182412	115.34239810937082	116.68833351689258	115.42775035453856	96.29797073968383	80.98310475820898	117.50278119198232	87.97403484184208	135.73828758182412	115.34239810937082	75.69836908305132	64.57124773992376	65.22021193784069	65.22021193784069
111.96791731178033	114.03454822968996	94.50732087136176	79.09841758816688	120.11131753868172	91.56575446575243	139.30740738045338	119.95142630535577	116.9495409871255	114.0345206972481	94.50715321896628	79.10294298641925	120.11131753868172	91.56575446575243	139.30740738045338	119.95142630535577	75.42876132819283	65.18945495727735	64.91954611118008	64.91954611118008
109.43747197473012	112.4819128759342	92.13319475592844	77.6958677104472	123.32551279692191	93.5084730069406	141.81729274421022	123.11202137230464	117.41316858503714	112.48191976193034	92.13336949268442	77.69572199223131	123.32551279692191	93.5084730069406	141.81729274421022	123.11202137230464	74.60645529171367	65.09334384969547	65.22025497953538	65.22025497953538
106.85399159497184	110.10031302009854	90.4163112822048	76.1194573825044	124.91921597964192	94.83062135252864	144.69462961472408	127.76802796012146	117.92950539448316	110.1002620359062	90.41629891141046	76.11366006417057	124.91921597964192	94.83062135252864	144.69462961472408	127.76802796012146	75.30904865651634	65.53460476655856	65.2238443716778	65.2238443716778
105.23897078356693	108.35236540306268	88.09526428520364	74.4109103659629	126.66824996816564	98.27864113805887	147.28740238382966	133.10144824357212	118.30954437600296	108.35234028334015	88.09531982160637	74.41245115474034	126.66824996816564	98.27864113805887	147.28740238382966	133.10144824357212	75.17309753774254	65.29873569070526	64.84220474053332	64.84220474053332
