Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0	Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	T1_A0	T2_A0	T3_A0	T4_A0	T1_A2	T2_A2	T3_A2	T4_A2	T1_A1	T2_A1	T3_A1	T4_A1
1.4256587426549985	1.279761471744522	1.3345139529863714	1.382081510930857	1.6703200115426746	1.5144789260471896	1.5122019790994123	1.4745249405007608	3.4762759768392835	2.8146123985084257	2.858382277217208	2.896106621672686	159.6776504869352	648.6356637421078	1.5122019790994123	1.4745249405007608	5.326325783628956	4.195589270401372	4.30928587311369	4.30928587311369
1.4131000320006044	1.269197134501369	1.3269795407483684	1.375923836306992	1.6672397950232525	1.5117721131035982	1.5115231307134092	1.4729643651893891	3.4746995405571206	2.7980715902930617	2.837085806555871	2.87878491051844	158.16658301284784	819.3965476483786	1.5115231307134092	1.4729643651893891	5.357129058623249	4.197328756333169	4.305837526662445	4.305837526662445
1.3999426621794842	1.259561803803006	1.3194553655079932	1.373253873626077	1.6611168480873504	1.509930702978624	1.5132283546655565	1.473674641599546	3.466956964932646	2.7783657877628563	2.8107562574785137	2.8645391665363262	155.89662674216444	349.67658158995346	1.5132283546655565	1.4736746415995459	5.350894846456107	4.213558233928716	4.320594743629346	4.320594743629346
1.3866133788633217	1.2507699868726203	1.311919323334752	1.3737455777978356	1.6529113657720145	1.508986975920925	1.516476261009018	1.4770423233913437	3.451396192323996	2.7533705055830926	2.781021476370757	2.8524621880186625	152.14458484485408	395.3822758773112	1.516476261009018	1.4770423233913437	5.490130199956553	4.228187341541557	4.3298987973285765	4.3298987973285765
1.3737882167253987	1.2425254002871582	1.3043495316941447	1.3767806938451792	1.6446008982162208	1.5084219504229417	1.5197928811766186	1.4832180634710286	3.425350598267865	2.7255726705652665	2.749929080179231	2.8415448204889584	147.7806554533348	622.3104036504328	1.5197928811766186	1.4832180634710286	5.468971266640028	4.249277225716786	4.340045707050046	4.340045707050046
1.362340434699374	1.2345284361591529	1.2967060973027018	1.381602589096382	1.638969381432504	1.5074387754219087	1.521583364947162	1.4917995046554562	3.3871103679580887	2.6931412372498933	2.7203180771413398	2.8306750167727124	143.94832679121816	438.88935510792527	1.521583364947162	1.4917995046554562	5.430789528050295	4.269528510593262	4.343130847377856	4.343130847377856
1.352960750617515	1.226359695159845	1.2890145155079709	1.3874896323712895	1.6386551437590051	1.505434179276551	1.5205694628742037	1.501470790329414	3.337377320379875	2.6608455114164906	2.694339855737105	2.8191702404783148	141.02542534644533	498.70179839480585	1.5205694628742035	1.501470790329414	5.58359758523509	4.285398776446277	4.364830968417665	4.364830968417665
1.3461911359206988	1.2175684948316778	1.2813819667230606	1.3939040298334262	1.644807104085148	1.5023826058994785	1.5162677109652356	1.5099718068846832	3.279683712499714	2.629198935519592	2.673484249198483	2.806831244682502	137.52654165436817	905.4320057225823	1.5162677109652356	1.5099718068846832	5.735650602382876	4.294490452234435	4.3758693482212765	4.3758693482212765
1.342041213672903	1.207754795819164	1.2740737116477578	1.40051057927308	1.6559426891137214	1.4986288270787096	1.5091598584049215	1.5146683098817428	3.2200430316779323	2.5995829864065434	2.6576891908573725	2.794223557350632	134.97575271890994	683.0837651139606	1.5091598584049215	1.5146683098817428	5.84803648591803	4.293237831282257	4.360558368972344	4.360558368972344
1.339991559789972	1.196746262097171	1.2673337800608546	1.4069614469456893	1.6672509546451193	1.4948359890835772	1.5000369433035976	1.5131890204265666	3.1643583654172174	2.5725856107785656	2.646029533910112	2.782785066060854	133.38459398242762	604.8291111205885	1.5000369433035976	1.5131890204265666	6.143041681116896	4.301867963509428	4.352853971273307	4.352853971273307
1.338862726693728	1.1846166623078542	1.2614947936816707	1.4129514735433657	1.6708881809300258	1.4920343155798566	1.489620067065298	1.504158156804002	3.116998666497704	2.5500346568966195	2.636926439980934	2.7739243730652183	132.64185461605553	412.53438577983854	1.4896200670652981	1.504158156804002	6.132252429486164	4.297995208662789	4.378813797296456	4.378813797296456
1.3371604104138768	1.1717283738521505	1.256927398161053	1.4185106946762376	1.657950536402134	1.4912185936970457	1.4781901022615491	1.4879629009815225	3.080582265826399	2.5308946161790047	2.628796689753415	2.768952179902533	131.502116137168	734.1235385079341	1.4781901022615491	1.4879629009815225	6.187429873052111	4.269366698005579	4.370288311390692	4.370288311390692
1.3333722215169177	1.1586221516668394	1.254107364813532	1.4238852598133744	1.623789093078768	1.492873207175409	1.4657430546127328	1.4668669638211715	3.056036219331759	2.514235806890669	2.620752469358441	2.7687011176440386	129.59260425417094	956.2076953432136	1.4657430546127328	1.4668669638211715	6.378753064761727	4.270516788606319	4.381622248224042	4.381622248224042
1.3267828081393709	1.1459837754827864	1.2532567220363544	1.429483793898891	1.5753609068752192	1.4965871332182372	1.4527307696467886	1.4444671281176673	3.042366339679213	2.498919056060961	2.612095631930224	2.772810903561327	127.69991378548578	554.7919530790214	1.4527307696467886	1.4444671281176673	6.323072383142613	4.259046404485486	4.394870467595381	4.394870467595381
1.3172136804084964	1.13468567040711	1.2546631488330922	1.4358182290751969	1.529901381834798	1.50102950454111	1.4402331189124422	1.4244417059182568	3.037030882180764	2.484434771472387	2.602023776154513	2.780741547090454	125.81990394121424	961.1747840242857	1.4402331189124422	1.4244417059182568	6.502371832421589	4.273432062004722	4.409465114987141	4.409465114987141
1.3055379273261956	1.1252154230017315	1.2581420943752608	1.4432832858279825	1.5006920826941752	1.504398260388805	1.4295241751788572	1.4095097293085097	3.0355343603818423	2.4691089404081565	2.5901766006406635	2.7913266607842155	123.09305140992896	940.1777010702814	1.4295241751788572	1.4095097293085095	5.993560716713182	4.26845354950744	4.413731576989454	4.413731576989454
1.2929290387484298	1.1181101463942793	1.263513207014903	1.452028300299632	1.4901071989202854	1.50492030359406	1.421241542444317	1.401013108524379	3.032601672649708	2.4520549482229743	2.5766861577962263	2.803614071626462	121.54833724100655	303.66417951707643	1.421241542444317	1.4010131085243793	6.0519764477196425	4.286618729026904	4.411770468461612	4.411770468461612
1.2809493282086046	1.1134183580773085	1.2704377374999491	1.4618452249664626	1.4939348701330195	1.5011842351846771	1.4152898651579977	1.3988386031887434	3.024078509741174	2.432392826002138	2.5622484164765176	2.816481365878341	119.9282896600985	824.8981011869992	1.4152898651579977	1.3988386031887434	5.955414475348721	4.30728044388686	4.376561833592385	4.376561833592385
1.270814603833898	1.1113763666197225	1.278623734094665	1.472279999449262	1.505567701628628	1.4928396371940351	1.4108585533039568	1.4015390657538989	3.007528937383892	2.409331226588986	2.547956280573856	2.8288254619768862	118.84993810515874	493.07237481392946	1.4108585533039568	1.4015390657538989	6.51096507032109	4.303037472840752	4.368958368911353	4.368958368911353
1.2632784067906897	1.111815210889614	1.2875045583728624	1.4826768093664384	1.5183836748701531	1.4810496869190066	1.4068266424044995	1.4066587266790285	2.982823246681662	2.3836150421848403	2.534701886039292	2.840593909724801	116.18013432981971	461.51368006438304	1.4068266424044995	1.4066587266790285	6.731052813352999	4.306155901051967	4.350972547886243	4.350972547886243
1.2589472502212504	1.1145374810301312	1.2965087667010438	1.492357769144706	1.527581870642827	1.4679953750371997	1.402104768293328	1.4112193838235896	2.951276405510007	2.3560872841438294	2.523419125621979	2.8522146209994	114.72824559909076	609.4129896172876	1.4021047682933279	1.4112193838235896	7.581962395795262	4.308250737372371	4.332185032214202	4.332185032214202
1.2580103618585745	1.118913253477389	1.3050372988432644	1.501020959732215	1.5308260702802516	1.455525234246207	1.3956897028004809	1.4126499090155828	2.9145425848115045	2.328456490924762	2.514947627193646	2.8646798632182264	113.91789752314548	289.97882537507166	1.3956897028004809	1.4126499090155828	8.25866772335206	4.32243015635081	4.321902045642177	4.321902045642177
1.2605577363664349	1.1244383099762334	1.3125632896619148	1.5089535648552288	1.528038497402048	1.4444799109953237	1.3867645364136263	1.4094905563998423	2.8746332226623945	2.30211036469502	2.5100884060762825	2.879215492536897	113.23110881935841	267.0166295108496	1.3867645364136263	1.4094905563998423	8.462268064353482	4.34080657231276	4.31871777953714	4.31871777953714
1.2663305847782196	1.1307481166822104	1.3186918566525323	1.5166290172881849	1.520470864744065	1.435063356476917	1.3751808615775916	1.4017800354408936	2.8336881694656824	2.2784367121094484	2.509590024982506	2.8967760181046907	112.53093413460768	134.69368623111876	1.3751808615775916	1.4017800354408936	9.425099459103093	4.35760052883382	4.3252703588381385	4.3252703588381385
