Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0
148.20496080892238	147.11612171446322	161.00116317167436	150.1045112811561	188.0551150763335	185.83504435770362	148.5588507687411	100.9356126166186
147.5817092916798	147.0794098331525	159.86920578088237	150.8709553549996	184.1992220658971	181.6988653978061	144.24632310677174	97.64451186539041
146.64167339605504	147.78281518802558	160.33148480730836	153.5876351591092	180.3131749136604	176.36094161091634	138.51982653793024	94.24279506412871
145.326258927954	148.5067637867628	161.92166593390166	155.57846577341914	175.03051754699356	172.23205159086407	134.209482232582	90.8348869835025
143.708464356481	149.05662277167932	161.5969332098168	159.1318676255948	171.567825035045	167.25910556974466	129.01192352822045	87.0077440559183
143.0910217627997	149.01665649311576	160.79746260667255	163.21907600893917	166.30306789665204	162.39752308900842	124.46451350878324	83.5461657833244
144.99931885629292	149.70364909942538	159.84038290812438	167.0169432524313	160.8333241489683	157.72223963499198	120.1225445715377	79.8392978403382
147.02474808096798	149.1881614830929	158.44039980176984	169.84810934322934	155.90224639784694	153.06489048509087	114.67683118203347	75.97392565182174
148.4316986178258	148.75307953236796	157.84607119129242	173.09082547162652	151.39147692083893	148.30915589955183	109.8599947756269	72.39355817235007
150.8548927937621	148.95789282490293	159.0427979517358	174.11117860774635	146.05342561029286	143.81778950274253	105.93202046857536	68.31802961285018
152.91932532825487	147.7969921690737	161.24501581222043	174.7857681944309	141.5383520131337	139.42562779219463	100.77992256950154	64.43712622320606
155.61771295025684	147.59331094315746	163.74657566244122	174.2554115945043	136.05202056066298	134.72803516229223	95.80662315621207	59.73441618665595
159.297083828801	148.031224353571	165.78214731934492	173.08792094298911	132.39852111292092	129.56749714741562	90.54690975151281	55.029614163685714
162.6123319243711	148.5753396861915	167.92747426911183	172.5292319029966	127.45330681467382	123.81144744843935	84.61072270417031	50.270163215949424
164.48304473796645	152.18474151636545	169.93139614951752	170.77158239987136	122.22152554300634	116.19365128756272	78.62440306017308	46.30628097884694
166.09499579967135	156.20419544527903	171.62088109457608	169.2592705796872	117.40816317561561	109.02247760485952	73.0066502341361	41.900823738115946
166.4662567550252	159.6132936962471	173.14671193684174	167.54024982263493	111.88663200742047	102.03376409708287	66.71109879854369	37.92110222751584
166.05254679735614	162.90628978735768	174.15584165939353	166.17690154290105	106.14612711478877	95.75729093310838	60.81994170374774	34.39407489469241
166.09626888947568	165.0308874136792	173.64950620515071	164.7740816858802	99.70556487344086	89.8064907006844	55.41117001298406	31.040576408249215
165.651733855463	165.2641393645674	172.7905036017621	163.6445266873509	93.10307855061434	83.53051797209683	50.53460633184274	27.960269724312717
165.07501092250345	164.68731999560794	172.930202111239	162.72392372561987	86.95359109916943	77.22083136044573	45.86009436983572	25.07756958966349
165.86801646086994	163.5283630628089	173.8033925609696	161.81999930716455	81.60443470645117	71.3584753730181	41.473190056390216	22.17963305468907
165.55023472022415	161.9769862562905	173.60967471364472	160.95259337710294	75.48368619519901	64.96481792610417	37.60972451809339	19.446670236793114
164.90542058022012	159.8495280304762	174.19067768616634	159.8502754639941	70.5153293712029	58.80004109353254	34.13019296173673	16.95162483296303
164.32742888224277	157.26728047117606	174.44815474312938	157.49978446059518	65.02253089809527	52.47499731072568	31.189264031115243	15.17901806684699
163.22285799720373	155.34785875042098	173.92197632712993	154.39208602642933	60.47496563002784	46.75758331273444	28.576091428361092	14.33428712356359
163.39887669742757	154.1052066569264	173.76603331024307	151.77868940918003	56.30361889109635	42.03246598004156	25.68943882026445	14.284103280206716
163.35161063870666	152.8380045412209	173.07105804452806	149.136371859062	52.198095077820376	37.628546767962234	22.466084815491353	14.089924931195725
162.38143616183913	150.97816320390058	172.39148638684637	146.20879698200633	48.89376147114155	33.69327616983549	19.046290418476897	13.861228812978515
160.84947582801692	149.30659249955357	171.67791883535065	142.63926680023053	45.32967719603109	30.437812693363014	16.357394596620413	13.422760583991371
159.06803926647248	147.31756153399766	170.33222001354605	138.51535458174078	41.74997726929584	27.03158026775964	13.892527064925538	12.928214029468013
156.2295919177586	145.79885382515192	167.23076838053808	133.24070416691237	38.64824143065134	23.521212682703908	11.863288039047598	12.13568462617528
152.84689442478813	144.23392457776762	163.87599519802913	129.3260476788506	35.505840156315	20.42377462524865	10.527897707887684	11.267734872025303
149.51244425512388	141.50501070825493	160.6733298103066	125.94324285682802	32.782991420363935	17.4768032642268	8.935329971320707	10.277847577337587
145.19571942476412	138.52846692274892	157.4636354748454	122.84183225820924	29.747310689102346	15.936141863326403	7.611400305620509	9.093109984576298
141.81515182916712	135.20153387329202	153.8663493459766	120.42598418569156	26.472070676752022	15.76484846023493	6.505690943260277	7.805630761118056
139.10303769249086	131.63731304161743	152.09266641818985	118.01698269049989	22.92683233837467	15.804223882826822	5.670768718867875	6.442208580027873
136.12945022721732	128.18302313667186	149.58550625503767	115.47180784463367	19.260907573029442	15.451974404780639	5.351450739597922	5.389748397211058
133.21251473609624	124.3283193534321	147.3290623994081	112.16024170988626	16.027111611020942	14.39795880662448	5.1832084034838894	4.976955573685478
130.8420670849343	118.80337605189492	144.46767487519546	108.34952356432557	13.614549750808617	12.408704590651771	5.3565971702554736	5.042854601115761
127.46034638087396	113.88356814884288	141.3766603095331	104.7131665059637	11.929270068649505	10.109006498503621	5.139624411229003	5.15895886691452
124.93227116578036	111.23421233943918	138.274213880835	100.57345394025258	10.511191151667228	7.88033968531313	5.265099935673189	5.286278891612219
