R_A2	L_A2	R_A0	L_A0	R_A1	L_A1
6.426998825263234	2.934380601279945	2.5837135623289775	2.409396381977426	2.048358271384805	2.1828130343762484
5.3164502401993685	2.7915902627675946	2.67205316480025	2.2929548320147592	2.0565258025816107	2.3776770080601266
5.472383055037773	3.204118833360659	2.430743893027235	2.1964475964850374	2.05737434439039	2.1731294091929
5.4238338259027135	2.909823485230802	2.6702305015257766	2.1279658073180796	2.05737434439039	2.1731294091929
