Trial1_A2	Trial2_A2	Trial3_A2	Trial4_A2	Trial1_A0	Trial2_A0	Trial3_A0	Trial4_A0
14.598799966866835	22.048270497327987	15.298176231345971	14.96352324596937	101.41344952096041	105.12447556727486	103.30029939685703	88.67458664731535
14.655233700352037	21.66263106104299	15.740597139025551	15.085575960228311	101.86471406080535	105.4474800355736	103.30646494352395	88.11857713016968
14.50367794291616	21.74153526406572	16.309966851355295	15.577186495231324	102.37212894659866	105.83732347452958	102.91462852062395	87.22953913468308
14.263890881253406	22.254185367955145	16.311120030938593	16.58961370093027	102.59794199298449	105.67519722961387	102.58785471623148	86.46186813047478
14.477821670014931	22.632491942042343	15.642007773795628	17.417728760427803	103.23078119906346	106.42683547215064	102.70143482808099	86.17641268198068
14.32172713503953	23.471594423713483	15.51904703515426	18.34590076999471	103.08487404566183	106.72683238326316	101.61185293474345	85.34161062719632
14.150032252328195	23.53460076966847	15.725752682313177	19.34161967710296	103.4097756506199	106.98238657747844	101.85943897545305	84.23814669155745
14.677010672561384	23.340742967176613	15.399104642026726	20.29799568567328	102.68076070665117	107.34232222610471	101.37856101618476	83.45719892696155
15.327795366440448	23.034211481347	14.963283405533195	21.4530773420912	102.76829756755886	107.37454486965072	100.975011019598	82.05069239044032
15.506765176158469	22.32594282496565	14.847837158910853	22.81517927883989	102.46253404173498	108.00844577685284	100.48130823933069	81.00661108296191
15.652033053221288	21.595135269862343	14.483555768059173	24.189526457384165	102.19185345656898	108.56412716134955	99.27249326151895	79.60588191523715
16.4209650964232	21.460150864732466	14.75363631538142	25.63598308514359	101.19359847413637	108.9043968825105	98.86004991967977	79.3200559028735
17.413330116279468	21.31388703506653	15.235392146933613	27.448779379724773	100.69006575434956	109.33801823537533	98.37554225041154	78.48321559954272
18.66266359653037	21.008621454302343	15.126082264623754	29.34601352714021	100.04127546501216	109.42610596972516	97.15284976344665	78.36337924827079
20.851057921238983	21.087630068841307	15.029835558500128	31.28236333246511	99.23598581896687	109.38897690667406	96.93754467586035	78.26970471501816
22.80212716748304	21.544385959652	15.690924224690152	32.5228075718751	98.70747268806011	109.47668800888653	95.82355416022038	78.29888041381663
25.36484159458886	22.789690289905835	16.743268783771956	33.57086273974529	98.56983054600153	109.34084198440382	95.03711202443661	77.7908581881054
27.12349140272269	23.90805249896868	18.19112077552137	34.31299884821629	98.08957766017659	109.55227134263855	94.44294850020152	77.21852587032902
28.57356462261315	25.059608996152427	20.390715511464258	35.13958757338942	97.39021399400882	109.42261661307865	93.87207005698605	76.60372564944699
30.02643419461562	26.45147341296265	22.65817382948041	35.64269488876192	96.69355521575291	109.36217147451629	93.43489368494816	76.13163076427988
31.281407744678795	28.041260951780643	24.4909906775948	36.13758369579349	95.99630638227151	109.4541450769465	92.97122733876155	75.53848958499995
32.164872396633285	29.8716242738946	26.256518840352104	36.262000074196685	95.58458063333298	109.23302492726826	92.19606243286901	75.5037464185083
33.41028683805617	31.659550931788488	28.31631558732517	36.51936860903332	95.30336083761752	109.0512219838382	91.48396254593483	75.40640216629083
33.99477751479651	33.18740555475597	29.347990816680944	36.977354580724274	95.47044011068962	108.95066039155289	90.51780950780125	75.3560612172565
34.48446669672157	34.66848940678963	30.219993462274243	37.52881566601364	95.69711736600549	108.63636382142519	89.00393499456818	74.99273118441802
35.25872340402388	35.59809761686842	31.00001765074739	37.72087691249951	95.26672948814323	107.69660183266134	88.41092228434145	75.02294187309246
35.630681360649646	36.79483231522382	31.330217985362136	37.93988354714181	94.97149239963194	107.4986664267135	87.5598322834611	74.19595178237057
